ID,Name,Breed,Sex,Age,Weight,Location,Info,URL,Image
CHUA-A-29954,Keegan,Dog - Mixed Breed (Large)/Mix,Sex : Male,Age : 4Y / 6M / 3W,Weight : 59.00 lbs,"Location: Canine Adoption Floor, C9",,https://www.shelterluv.com/publish_animal/CHUA-A-29954,img/profile/Keegan-1.png
CHUA-A-29982,Dusty,Dog - Beagle/Mix,Sex : Male,Age : 7Y / 4M / 1W,Weight : 34.80 lbs,"Location: Canine Adoption Floor, A4",,https://www.shelterluv.com/publish_animal/CHUA-A-29982,img/profile/Dusty-1.png
CHUA-A-30048,Barbara,Dog - Terrier/Mix,Sex : Female,Age : 5M / 1W,Weight : 22.30 lbs,"Location: Canine Adoption Floor, A7",,https://www.shelterluv.com/publish_animal/CHUA-A-30048,img/profile/Barbara-1.png
CHUA-A-30049,Bert,Dog - Terrier/Mix,Sex : Male,Age : 5M / 1W,Weight : 30.00 lbs,"Location: Canine Adoption Floor, A9",,https://www.shelterluv.com/publish_animal/CHUA-A-30049,img/profile/Bert-1.png
CHUA-A-30056,Brianna,Dog - Terrier/Mix,Sex : Female,Age : 5M / 1W,Weight : 25.00 lbs,"Location: Canine Adoption Floor, A5",,https://www.shelterluv.com/publish_animal/CHUA-A-30056,img/profile/Brianna-1.png
CHUA-A-30103,Nash,Dog - Boxer/Mix,Sex : Male,Age : 1Y / 3M,Weight : 47.20 lbs,"Location: Canine Adoption Floor, A1","Hi! I am a happy-go-lucky boy looking for a good home.  I love all kinds of people, and I can be a little jumpy at first but its just because I am so happy to see you! When I calm down I sit very nicely and love to play fetch.  I would prefer a home with no cats (I like to chase and play but they don't seem to like it). I was found injured and have been recovering for a long time but I never let it get to me!  I will always have a limp, but I say that just makes me more unique.  I would love to go home with you.",https://www.shelterluv.com/publish_animal/CHUA-A-30103,img/profile/Nash-1.png
CHUA-A-30111,Sabrina,"Dog - Collie, Smooth/Mix",Sex : Female,Age : 2Y / 9M,Weight : 44.20 lbs,"Location: Canine Adoption Floor, C5","I am a goofy dog looking for the perfect home! I am a higher energy dog, so I would love a yard to run around in to get out my energy. I think I would do well in a home with children, I just may knock over the really little ones when I get excited - so I would need someone to teach me my manners. I can be timid in new situations but overall am a happy-go-lucky girl - I would love to go home with you!",https://www.shelterluv.com/publish_animal/CHUA-A-30111,img/profile/Sabrina-1.png
CHUA-A-30474,Onyx,"Dog - Spaniel, English Springer/Mix",Sex : Male,Age : 4Y / 5M / 1W,Weight : 62.00 lbs,"Location: Canine Adoption Floor, B7",,https://www.shelterluv.com/publish_animal/CHUA-A-30474,img/profile/Onyx-1.png
CHUA-A-30176,Ruby,"Dog - Shepherd/Cattle Dog, Australian (Red Heeler)",Sex : Female,Age : 2Y / 3M / 3W,Weight : 39.00 lbs,"Location: Canine Adoption Floor, C1","I am a very sweet little dog! I just want all of your attention all day. I do not get along with other dogs and need to be the only pet in the home - luckily this means I get even more attention! If you think I could be a good fit for your family, come meet me today!",https://www.shelterluv.com/publish_animal/CHUA-A-30176,img/profile/Ruby-1.png
CHUA-A-30137,Susan,Dog - Terrier/Mix,Sex : Female,Age : 3Y / 8M / 4W,Weight : 40.00 lbs,"Location: Canine Adoption Floor, C10","I am a sweet and quiet dog. I can be a little shy in new situations, so I would love a quiet home for me to relax in! I am dog friendly and also potty trained. If you are looking for a loyal and calm companion, I think you've finally met your match!",https://www.shelterluv.com/publish_animal/CHUA-A-30137,img/profile/Susan-1.png
CHUA-A-30187,Bobby,"Dog - Cattle Dog, Australian (Blue Heeler)/Mix",Sex : Male,Age : 1Y / 2M / 2W,Weight : 62.00 lbs,"Location: Canine Adoption Floor, B1","A huge thank you to Feathr for sponsoring Bobby's adoption fee! Now Bobby can become a member of your family for FREE! He's a one-year-old Cattle dog, Australian (Blue Heeler) mix with a spunky personality. Bobby is a super smart boy. He knows how to sit, shake, and lie down. He loves treats, so teaching him more tricks should be a breeze! He loves water, so if you're looking for partner to swim laps with, Bobby is your guy. He may even be the next Michael Phelps of the dog world. Bobby does need to be the only dog in the home, he just wants to be the center of your attention! Come out to the Alachua County Humane Society to meet Bobby. He's ecstatic to find his forever home!",https://www.shelterluv.com/publish_animal/CHUA-A-30187,img/profile/Bobby-1.png
CHUA-A-30326,Remmy,Dog - Shepherd/Mix,Sex : Female,Age : 6Y / 2M / 3W,Weight : 47.00 lbs,"Location: Canine Adoption Floor, B10","I am a silly girl looking for the perfect home to call my own! I am a high energy lady - I would love to be your running partner. I LOVE PEOPLE SO MUCH! If I had a choice, there would never be a moment when I am not being pet. I would not do will in a home with other animals. If you are looking for an active buddy for life, look no further!",https://www.shelterluv.com/publish_animal/CHUA-A-30326,img/profile/Remmy-1.png
CHUA-A-30235,Jason,Dog - Bulldog/Mix,Sex : Male,Age : 4Y / 3M / 1W,Weight : 48.40 lbs,"Location: Canine Adoption Floor, B6",,https://www.shelterluv.com/publish_animal/CHUA-A-30235,img/profile/Jason-1.png
CHUA-A-30236,Spike,"Dog - Chihuahua/Dachshund, Standard Smooth Haired",Sex : Male,Age : 6Y / 2M / 1W,Weight : 29.00 lbs,"Location: Canine Adoption Floor, A2","I am calm little guy looking for a quiet home to call my own. I just want to get as much attention, sleep and food as I can (food is my favorite thing ever). I do well with other smaller dogs but I am not a huge fan of higher energy large dogs - they interrupt my intensive nap schedule. If you are looking for a calm small dog to love you forever - I think you found your match!",https://www.shelterluv.com/publish_animal/CHUA-A-30236,img/profile/Spike-1.png
CHUA-A-30238,Dakota,Dog - Hound/Mix,Sex : Female,Age : 1Y / 8M / 1W,Weight : 49.00 lbs,"Location: Canine Adoption Floor, B5","Are you looking for a playful high energy dog to entertain you? Look no further! I love to play and bounce around in a yard. I came into the program very underweight, so I have been focusing on getting enough food to fuel my little body. I am very sweet with people but have not been able to meet any other dogs yet - although I think I would probably like them!",https://www.shelterluv.com/publish_animal/CHUA-A-30238,img/profile/Dakota-1.png
CHUA-A-30286,Luna,"Dog - Hound, Black and Tan Coonhound",Sex : Female,Age : 2M / 2W,Weight : 13.00 lbs,"Location: Alachua County Humane Society, Puppy Room",,https://www.shelterluv.com/publish_animal/CHUA-A-30286,img/profile/Luna-1.png
CHUA-A-30287,Hermione,"Dog - Hound, Black and Tan Coonhound",Sex : Female,Age : 2M / 2W,Weight : 14.00 lbs,"Location: Alachua County Humane Society, Puppy Room",,https://www.shelterluv.com/publish_animal/CHUA-A-30287,img/profile/Hermione-1.png
CHUA-A-30321,Posey,Dog - Hound/Mix,Sex : Female,Age : 3M,Weight : 17.00 lbs,"Location: Alachua County Humane Society, Puppy Room",,https://www.shelterluv.com/publish_animal/CHUA-A-30321,img/profile/Posey-1.png
CHUA-A-30336,Solaris,Dog - Terrier/Mix,Sex : Female,Age : 3Y / 1M / 2W,Weight : 48.00 lbs,"Location: Canine Adoption Floor, C8","Hi, I am Solaris! When I came here I was super skinny AND had 7 puppies!  I had some very nice foster homes who fed me lots and loved me, and now that my puppies have grown up it is time for me to find my own home. I would prefer to be the only pet, and I love having my humans around a lot.  I am potty-trained, and know sit so I promise I will be a very good girl for you!",https://www.shelterluv.com/publish_animal/CHUA-A-30336,img/profile/Solaris-1.png
CHUA-A-30417,Raider,Dog - Terrier/Mix,Sex : Male,Age : 1Y / 2M,Weight : 65.40 lbs,"Location: Canine Adoption Floor, B2",I am a super sweet boy! I do well with other dogs and would prefer to go into a home with other dogs to keep me company. I love affection and would love to cuddle up with my new family. I even know how to sit! Come meet me during adoption hours Thursday-Sunday 12PM-6PM!,https://www.shelterluv.com/publish_animal/CHUA-A-30417,img/profile/Raider-1.png
CHUA-A-30422,Homer,"Dog - Coonhound, Redbone",Sex : Male,Age : 1Y / 1M,Weight : 50.00 lbs,"Location: Canine Adoption Floor, D5","I am a very energetic boy who loves to smell things and run and play! I would love a big backyard with room to roam, I love other dogs and get long well with cats... but I like to sniff them a lot (they smell so interesting!) so they should be introduced slowly to me. I love people and kids, just let me show you!",https://www.shelterluv.com/publish_animal/CHUA-A-30422,img/profile/Homer-1.png
CHUA-A-30423,Sequin,"Dog - Retriever, Black Labrador",Sex : Female,Age : 6M,Weight : 26.00 lbs,"Location: Alachua County Humane Society, Canine Quarantine",,https://www.shelterluv.com/publish_animal/CHUA-A-30423,img/profile/Sequin-1.png
CHUA-A-30424,Bella,Dog - Terrier/Mix,Sex : Female,Age : 9M / 2W,Weight : 56.00 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/CHUA-A-30424,img/profile/Bella-1.png
CHUA-A-30430,Leonardo,Dog - Terrier/Mix,Sex : Male,Age : 4M,Weight : 22.40 lbs,"Location: Alachua County Humane Society, Puppy Room",,https://www.shelterluv.com/publish_animal/CHUA-A-30430,img/profile/Leonardo-1.png
CHUA-A-30431,Chuck,Dog - Terrier/Mix,Sex : Male,Age : 4M,Weight : 22.60 lbs,"Location: Alachua County Humane Society, Puppy Room",,https://www.shelterluv.com/publish_animal/CHUA-A-30431,img/profile/Chuck-1.png
CHUA-A-30452,Cortez,Dog - Terrier/Mix,Sex : Male,Age : 1Y / 1M,Weight : 46.50 lbs,"Location: Canine Adoption Floor, C4","I am the happiest boy around! I enjoy being around both dogs and people - as long as someone is paying attention to me. I love to play, so if you love to throw a ball in the backyard, you are my kind of human. I am already potty trained - but I still need to find my forever family. If you are looking for a happy-go-lucky boy to fall in love with, I think you have found the perfect pup!",https://www.shelterluv.com/publish_animal/CHUA-A-30452,img/profile/Cortez-1.png
CHUA-A-30456,Curtis,Dog - Bulldog/Catahoula Leopard Dog,Sex : Male,Age : 4Y / 3W,Weight : 60.80 lbs,"Location: Canine Adoption Floor, B8",,https://www.shelterluv.com/publish_animal/CHUA-A-30456,img/profile/Curtis-1.png
CHUA-A-30458,Moana,Dog - Black Mouth Cur/Mix,Sex : Female,Age : 3M / 1W,Weight : 14.00 lbs,"Location: Alachua County Humane Society, Puppy Room",,https://www.shelterluv.com/publish_animal/CHUA-A-30458,img/profile/Moana-1.png
CHUA-A-30459,Pua,Dog - Black Mouth Cur/Mix,Sex : Male,Age : 3M / 1W,Weight : 15.00 lbs,"Location: Alachua County Humane Society, Puppy Room",,https://www.shelterluv.com/publish_animal/CHUA-A-30459,img/profile/Pua-1.png
CHUA-A-30497,Roper,"Dog - Bulldog, American/Mix",Sex : Male,Age : 2Y / 2W,Weight : 65.00 lbs,"Location: Canine Adoption Floor, D4","Hi! I am Roper, and I LOVE toys!  I am a little possessive with my toys (hey, they ARE mine right??) so need a little room when playing with one.  I love other dogs and people, but would like to meet my doggy siblings first! Come see me today please?",https://www.shelterluv.com/publish_animal/CHUA-A-30497,img/profile/Roper-1.png
CHUA-A-30499,Rosie,"Dog - Retriever, Labrador/Mix",Sex : Female,Age : 6Y / 2W,Weight : 58.80 lbs,Location: Foster Home,,https://www.shelterluv.com/publish_animal/CHUA-A-30499,img/profile/Rosie-1.png
CHUA-A-30522,Eeyore,Dog - Bulldog/Mix,Sex : Male,Age : 4Y / 2W,Weight : 53.00 lbs,"Location: Canine Adoption Floor, D2",,https://www.shelterluv.com/publish_animal/CHUA-A-30522,img/profile/Eeyore-1.png
